plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-A,A01,TRUE,,,,FALSE,,,,,,
plate-A,A02,TRUE,,,,FALSE,,,,,,
plate-A,A03,FALSE,BLUE,B1,CONTROL,TRUE,volume loss,,,,,
plate-A,A04,FALSE,BLUE,B2,CONTROL,FALSE,,,,,,
plate-A,A05,FALSE,BLUE,B3,CONTROL,FALSE,,,,,,
plate-A,A06,FALSE,BLUE,B4,TREATED,FALSE,,,,,,
plate-A,A07,FALSE,BLUE,B5,TREATED,FALSE,,,,,,
plate-A,A08,FALSE,BLUE,B6,TREATED,FALSE,,,,,,
plate-A,A09,FALSE,BLUE,B7,TREATED,FALSE,,,,,,
plate-A,A10,FALSE,BLUE,B8,CONTROL,FALSE,,,,,,
plate-A,A11,FALSE,BLUE,B9,CONTROL,FALSE,,,,,,
plate-A,A12,FALSE,BLUE,B10,CONTROL,FALSE,,,,,,
plate-B,B01,TRUE,,,,FALSE,,,,,,
plate-B,B02,TRUE,,,,FALSE,,,,,,
plate-B,B03,FALSE,GREEN,G1,CONTROL,FALSE,,,,,,
plate-B,B04,FALSE,GREEN,G2,CONTROL,FALSE,,,,,,
plate-B,B05,FALSE,GREEN,G3,CONTROL,FALSE,,,,,,
plate-B,B06,FALSE,GREEN,G4,TREATED,FALSE,,,,,,
plate-B,B07,FALSE,GREEN,G5,TREATED,FALSE,,,,,,
plate-B,B08,FALSE,GREEN,G6,TREATED,FALSE,,,,,,
plate-B,B09,FALSE,GREEN,G7,TREATED,FALSE,,,,,,
plate-B,B10,FALSE,GREEN,G8,CONTROL,FALSE,,,,,,
plate-B,B11,FALSE,GREEN,G9,CONTROL,FALSE,,,,,,
plate-B,B12,FALSE,GREEN,G10,CONTROL,FALSE,,,,,,
,C01,,,,,,,,,,,
,C02,,,,,,,,,,,
,C03,,,,,,,,,,,
,C04,,,,,,,,,,,
,C05,,,,,,,,,,,
,C06,,,,,,,,,,,
,C07,,,,,,,,,,,
,C08,,,,,,,,,,,
,C09,,,,,,,,,,,
,C10,,,,,,,,,,,
,C11,,,,,,,,,,,
,C12,,,,,,,,,,,
,D01,,,,,,,,,,,
,D02,,,,,,,,,,,
,D03,,,,,,,,,,,
,D04,,,,,,,,,,,
,D05,,,,,,,,,,,
,D06,,,,,,,,,,,
,D07,,,,,,,,,,,
,D08,,,,,,,,,,,
,D09,,,,,,,,,,,
,D10,,,,,,,,,,,
,D11,,,,,,,,,,,
,D12,,,,,,,,,,,
,E01,,,,,,,,,,,
,E02,,,,,,,,,,,
,E03,,,,,,,,,,,
,E04,,,,,,,,,,,
,E05,,,,,,,,,,,
,E06,,,,,,,,,,,
,E07,,,,,,,,,,,
,E08,,,,,,,,,,,
,E09,,,,,,,,,,,
,E10,,,,,,,,,,,
,E11,,,,,,,,,,,
,E12,,,,,,,,,,,
,F01,,,,,,,,,,,
,F02,,,,,,,,,,,
,F03,,,,,,,,,,,
,F04,,,,,,,,,,,
,F05,,,,,,,,,,,
,F06,,,,,,,,,,,
,F07,,,,,,,,,,,
,F08,,,,,,,,,,,
,F09,,,,,,,,,,,
,F10,,,,,,,,,,,
,F11,,,,,,,,,,,
,F12,,,,,,,,,,,
,G01,,,,,,,,,,,
,G02,,,,,,,,,,,
,G03,,,,,,,,,,,
,G04,,,,,,,,,,,
,G05,,,,,,,,,,,
,G06,,,,,,,,,,,
,G07,,,,,,,,,,,
,G08,,,,,,,,,,,
,G09,,,,,,,,,,,
,G10,,,,,,,,,,,
,G11,,,,,,,,,,,
,G12,,,,,,,,,,,
,H01,,,,,,,,,,,
,H02,,,,,,,,,,,
,H03,,,,,,,,,,,
,H04,,,,,,,,,,,
,H05,,,,,,,,,,,
,H06,,,,,,,,,,,
,H07,,,,,,,,,,,
,H08,,,,,,,,,,,
,H09,,,,,,,,,,,
,H10,,,,,,,,,,,
,H11,,,,,,,,,,,
,H12,,,,,,,,,,,
,A01,,,,,,,,,,,
,A02,,,,,,,,,,,
,A03,,,,,,,,,,,
,A04,,,,,,,,,,,
,A05,,,,,,,,,,,
,A06,,,,,,,,,,,
,A07,,,,,,,,,,,
,A08,,,,,,,,,,,
,A09,,,,,,,,,,,
,A10,,,,,,,,,,,
,A11,,,,,,,,,,,
,A12,,,,,,,,,,,
,B01,,,,,,,,,,,
,B02,,,,,,,,,,,
,B03,,,,,,,,,,,
,B04,,,,,,,,,,,
,B05,,,,,,,,,,,
,B06,,,,,,,,,,,
,B07,,,,,,,,,,,
,B08,,,,,,,,,,,
,B09,,,,,,,,,,,
,B10,,,,,,,,,,,
,B11,,,,,,,,,,,
,B12,,,,,,,,,,,
,C01,,,,,,,,,,,
,C02,,,,,,,,,,,
,C03,,,,,,,,,,,
,C04,,,,,,,,,,,
,C05,,,,,,,,,,,
,C06,,,,,,,,,,,
,C07,,,,,,,,,,,
,C08,,,,,,,,,,,
,C09,,,,,,,,,,,
,C10,,,,,,,,,,,
,C11,,,,,,,,,,,
,C12,,,,,,,,,,,
,D01,,,,,,,,,,,
,D02,,,,,,,,,,,
,D03,,,,,,,,,,,
,D04,,,,,,,,,,,
,D05,,,,,,,,,,,
,D06,,,,,,,,,,,
,D07,,,,,,,,,,,
,D08,,,,,,,,,,,
,D09,,,,,,,,,,,
,D10,,,,,,,,,,,
,D11,,,,,,,,,,,
,D12,,,,,,,,,,,
,E01,,,,,,,,,,,
,E02,,,,,,,,,,,
,E03,,,,,,,,,,,
,E04,,,,,,,,,,,
,E05,,,,,,,,,,,
,E06,,,,,,,,,,,
,E07,,,,,,,,,,,
,E08,,,,,,,,,,,
,E09,,,,,,,,,,,
,E10,,,,,,,,,,,
,E11,,,,,,,,,,,
,E12,,,,,,,,,,,
,F01,,,,,,,,,,,
,F02,,,,,,,,,,,
,F03,,,,,,,,,,,
,F04,,,,,,,,,,,
,F05,,,,,,,,,,,
,F06,,,,,,,,,,,
,F07,,,,,,,,,,,
,F08,,,,,,,,,,,
,F09,,,,,,,,,,,
,F10,,,,,,,,,,,
,F11,,,,,,,,,,,
,F12,,,,,,,,,,,
,G01,,,,,,,,,,,
,G02,,,,,,,,,,,
,G03,,,,,,,,,,,
,G04,,,,,,,,,,,
,G05,,,,,,,,,,,
,G06,,,,,,,,,,,
,G07,,,,,,,,,,,
,G08,,,,,,,,,,,
,G09,,,,,,,,,,,
,G10,,,,,,,,,,,
,G11,,,,,,,,,,,
,G12,,,,,,,,,,,
,H01,,,,,,,,,,,
,H02,,,,,,,,,,,
,H03,,,,,,,,,,,
,H04,,,,,,,,,,,
,H05,,,,,,,,,,,
,H06,,,,,,,,,,,
,H07,,,,,,,,,,,
,H08,,,,,,,,,,,
,H09,,,,,,,,,,,
,H10,,,,,,,,,,,
,H11,,,,,,,,,,,
,H12,,,,,,,,,,,
